benchmark,track,paper_name,source_csv,source_line,current_column,previous_sota_column,current_score,previous_sota_score,score_unit,T,S,R,alpha,z_critical,exclusion_reason,notes
LIBERO,spatial,TAIL: Task-specific Adapters for Imitation Learning with Large Pretrained Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,2,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,A Probabilistic Model for Skill Acquisition with Switching Latent Feedback Controllers,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,3,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,BAKU: An Efficient Transformer for Multi-Task Policy Learning,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,4,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Efficient Diffusion Transformer Policies with Mixture of Expert Denoisers for Multitask Learning,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,7,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,EXTRACT: Efficient Policy Learning by Extracting Transferrable Robot Skills from Offline Data,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,8,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Predictive Inverse Dynamics Models are Scalable Learners for Robotic Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,13,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,QueST: Self-Supervised Skill Abstractions for Learning Continuous Control,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,15,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Atomic Action Slicing: Planner-Aligned Options for Generalist VLA Agents,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,25,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Confidence Calibration in Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,37,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Distributional Diffusion Models with Scoring Rules,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,48,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,EmbodiedMAE: A Unified 3D Multi-Modal Representation for Robot Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,54,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,FAST: Efficient Action Tokenization for Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,61,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,H-GAR: A Hierarchical Interaction Framework via Goal-Driven Observation-Action Refinement for Robotic Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,71,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,IDAGC: Adaptive Generalized Human-Robot Collaboration via Human Intent Estimation and Multimodal Policy Learning,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,77,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,iFlyBot-VLA Technical Report,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,78,libero_spatial,libero_spatial_prev_sota,,89.9,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,LaDi-WM: A Latent Diffusion-based World Model for Predictive Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,82,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Leave No Observation Behind: Real-time Correction for VLA Action Chunks,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,85,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,LIBERO-Plus: In-depth Robustness Analysis of Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,86,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,LIBERO-PRO: Towards Robust and Fair Evaluation of Vision-Language-Action Models Beyond Memorization,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,87,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Masked Generative Policy for Robotic Control,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,92,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Resolving State Ambiguity in Robot Manipulation via Adaptive Working Memory Recoding,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,103,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Survey of Vision-Language-Action Models for Embodied Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,121,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Unified Video Action Model,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,127,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,ViPRA: Video Prediction for Robot Actions,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,131,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,VLAs are Confined yet Capable of Generalizing to Novel Instructions,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,138,libero_spatial,libero_spatial_prev_sota,,97,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,VQ-VLA: Improving Vision-Language-Action Models via Scaling Vector-Quantized Action Tokenizers,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,139,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,When Robots Obey the Patch: Universal Transferable Patch Attacks on Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,140,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,3D-Mix for VLA: A Plug-and-Play Module for Integrating VGGT-based 3D Information into Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,143,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,AdaWorldPolicy: World-Model-Driven Diffusion Policy with Online Adaptive Learning for Robotic Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,151,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,"Altered Thoughts, Altered Actions: Probing Chain-of-Thought Vulnerabilities in VLA Robotic Manipulation",leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,152,libero_spatial,libero_spatial_prev_sota,95.8,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,AnchorRefine: Synergy-Manipulation Based on Trajectory Anchor and Residual Refinement for Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,153,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Being-H0.7: A Latent World-Action Model from Egocentric Videos,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,157,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Beyond Attention Magnitude: Leveraging Inter-layer Rank Consistency for Efficient Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,158,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,EmbodiedMidtrain: Bridging the Gap between Vision-Language Models and Vision-Language-Action Models via Mid-training,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,181,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,GIPO: Gaussian Importance Sampling Policy Optimization,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,190,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Hierarchical Latent Action Model,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,193,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Improving Robustness of Vision-Language-Action Models by Restoring Corrupted Visual Inputs,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,195,libero_spatial,libero_spatial_prev_sota,,,percent,10,50,1,0.05,1.644853627,missing_current_or_previous_sota_score,Per-suite binary success rate over 10 tasks x 50 official trials.
